index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division
90,Occidental,6-5,0.5441,,0.5455,0.5652,0.5006,129,0 - 0,0 - 0,0 - 2,6 - 3,girls,D3
91,Utica,9-3,0.5437,,0.75,0.4451,0.5348,133,0 - 0,0 - 0,0 - 0,9 - 3,girls,D3
92,Lynchburg,9-5,0.5426,,0.6429,0.505,0.5177,96,0 - 0,0 - 0,0 - 1,9 - 4,girls,D3
93,Bates College,5-8,0.541,,0.3846,0.5908,0.5979,18,0 - 2,0 - 0,0 - 1,5 - 5,girls,D3
94,Mary Washington,4-8,0.5395,,0.3333,0.6243,0.5759,30,0 - 0,0 - 0,0 - 1,4 - 7,girls,D3
95,Clarkson,8-4,0.537,,0.6667,0.4626,0.5562,97,0 - 0,0 - 1,0 - 1,8 - 2,girls,D3
96,Methodist University,10-2,0.5368,,0.8333,0.4111,0.4918,181,0 - 0,0 - 0,0 - 0,10 - 2,girls,D3
97,John Carroll,6-6,0.5363,,0.5,0.5571,0.5309,71,0 - 0,0 - 0,0 - 0,6 - 6,girls,D3
98,Widener,7-6,0.5346,,0.5385,0.5278,0.5444,54,0 - 0,0 - 0,0 - 2,7 - 4,girls,D3
99,DeSales,10-2,0.5345,,0.8333,0.4006,0.5034,182,0 - 0,0 - 0,0 - 0,10 - 2,girls,D3
100,Washington & Jefferson,6-6,0.534,,0.5,0.5663,0.5035,95,0 - 0,0 - 0,0 - 1,6 - 5,girls,D3
101,Colby-Sawyer,10-3,0.5334,,0.7692,0.4625,0.4394,206,0 - 0,0 - 0,0 - 0,10 - 3,girls,D3
102,US Merchant Marine,8-2,0.5319,,0.8,0.4126,0.5025,203,0 - 0,0 - 0,0 - 0,8 - 2,girls,D3
103,Kean,7-7,0.5316,,0.5,0.5564,0.5134,63,0 - 0,0 - 0,0 - 0,7 - 7,girls,D3
